章节,实体1,QID,关系,实体2,QID.1
第二章,弗朗切斯科·博罗米尼,Q123150,协助,巴尔贝里尼宫建造,
第十七章,彼得罗·达·科尔托纳,Q333323,绘制,巴尔贝里尼宫天花板,
第二章,彼得罗·达·科尔托纳,Q333323,绘制,巴尔贝里尼宫天花板,
第三章,彼得罗·达·科尔托纳,Q333323,创作,巴尔贝里尼宫天花板壁画,
第二章,弗朗切斯科·布拉乔利尼,Q322022,设计,巴尔贝里尼宫天花板主题,
第二章,乌尔班八世,Q131579,委托,巴尔贝里尼宫装饰,
第六章,因诺森特十世,Q101266,驱逐,巴尔贝里尼家族,
第二章,因诺森特十世,Q101266,没收,巴尔贝里尼家族财产,
第二章,彼得罗·贝尔尼尼,Q712397,设计,巴尔贝里尼家族徽章,
第二章,彼得罗·达·科尔托纳,Q333323,设计,巴尔贝里尼家族剧院,
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,建立,巴尔贝里尼图书馆,
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,完善,巴尔贝里尼图书馆,
第十七章,科西尼,Q3745158,收藏,巴尔贝里尼肖像画,
第十七章,罗伯托·隆吉,Q1361667,出版,巴尔贝里尼肖像图像,
第十一章,约瑟夫·史密斯,Q476702,居住,巴尔比别墅,
第十七章,路易吉·斯特罗齐,Q3840187,委托,巴尔达萨雷·弗兰切斯基尼,Q2403504
第一章,路易十四,Q7742,委托,巴尔达萨雷·弗兰切斯基尼,Q2403504
第七章,路易十四,Q7742,雇用,巴尔达萨雷·弗兰切斯基尼,Q2403504
第十七章,让·巴蒂斯特·科尔伯特,Q188971,委托,巴尔达萨雷·弗兰切斯基尼,Q2403504
第一章,英国人托马斯·贝克,表中无ID,创作,巴尔迪努奇半身像,
第七章,萨沃伊尤金大公,Q610738,委托,巴尔塔萨·佩莫瑟,Q494782
第八章,费迪南德大公,Q465178,妻子,巴伐利亚维奥兰特·贝亚特丽切,Q68736
第八章,费迪南德大公,Q465178,结婚,巴伐利亚维奥兰特公主,Q68736
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,评价,巴莱斯特拉,Q386500
第十二章,安东尼奥·孔蒂,Q2087202,访问,巴黎,
第十章,安托尼奥·扎内蒂,表中无ID,访问,巴黎,
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,访问,巴黎,
第十章,罗萨尔巴·卡列拉,Q237726,访问,巴黎,
第十章,塞巴斯蒂亚诺·里奇,Q26878812,访问,巴黎,
第16章,塞洛蒂,Q113774991,去往,巴黎,
第十七章,佩莱格里尼,Q1358364,装饰,巴黎皇家银行,
第二章,马菲奥·巴尔贝里尼,Q131579,担任,巴黎教廷大使,
第十三章,詹巴蒂斯塔·帕斯夸里,表中无ID,出版,巴黎诺莱神父新书,
第七章,贾科莫·托雷利,Q357872,设计,巴黎舞台背景,
第四章,马斯西米,Q3297734,访问,巴伦西亚,
第三章,奥拉托利会,,推广,巴洛克风格,
第四章,巴尔贝里尼,Q1186836,支持,巴洛克风格,
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,偏爱,巴洛克风格,
第三章,神职界修会,,推广,巴洛克风格,
第三章,耶稣会,,推广,巴洛克风格,
第十四章,迪特里希,Q536581,创作,巴洛克艺术,
第一章序言,弗兰西斯·哈斯克尔,Q320477,讨论,巴洛克艺术,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,批评,巴洛克艺术,
第一章,威尼斯,,传播,巴洛克艺术,
第四章,乌尔班八世,Q131579,支持,巴洛克艺术,
第二章,乌尔班八世,Q131579,委托,巴乔·恰尔皮,Q5608903
第五章,吉安·彼得罗·贝洛里,Q714400,谴责,巴萨诺·迪·苏特里,表中无ID
第十三章,马菲奥·皮内利,Q56006855,收藏,巴萨诺·迪·苏特里,表中无ID
第八章,费迪南德大公,Q465178,收藏,巴萨诺·迪·苏特里作品,
第十三章,马菲奥·皮内利,Q56006855,收藏,巴萨诺·迪·苏特里作品,
第八章,托马索·鲁福,Q2661419,收藏,巴萨诺·迪·苏特里作品,
第16章,朱塞佩·托尼诺托,表中无ID,收藏,巴萨诺·迪·苏特里作品,
第八章,托马索·鲁福,Q2661419,收藏,巴萨诺作品,
第十二章,安德里亚·梅莫,Q1052776,评论,巴托罗梅奥·纳扎里,Q465240
第十一章,马歇尔·舒伦伯格,Q70910,委托,巴托罗梅奥·纳扎里,Q465240
第十一章,马歇尔·舒伦伯格,Q70910,认识,巴托罗梅奥·纳扎里,Q465240
第十一章,马歇尔·舒伦伯格,Q70910,收藏,巴托罗梅奥·纳扎里伦勃朗风格头像,
第十一章,马歇尔·舒伦伯格,Q70910,收藏,巴托罗梅奥·纳扎里头像系列,
第十一章,马歇尔·舒伦伯格,Q70910,收藏,巴托罗梅奥·纳扎里作品,
第八章,费迪南德大公,Q465178,收藏,巴托洛梅奥·帕桑特作品,
第八章,费迪南德大公,Q465178,收藏,巴托洛梅奥·谢多尼作品,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,仰慕,巴托洛梅奥修士,Q7780
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,欣赏,巴托洛梅奥修士的作品,
第八章,费迪南德大公,Q465178,收藏,巴托洛梅奥修士作品,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,欣赏,巴托洛梅奥修士作品,
第八章,费迪南德大公,Q465178,收藏,巴托洛米奥·帕桑特作品,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,评价,巴托尼,Q505613
第十七章,吉罗拉莫·曼弗林,Q16560336,收藏,巴托尼作品,
第七章,简提列斯基,Q367360,绘制,白金汉公爵,Q2736244
第十章,贝鲁奇,Q302062,装饰,白金汉宫楼梯间,
第七章,吉林·吉本斯,Q610462,创作,白厅装饰,
第七章,克里斯托弗·雷恩,Q170373,设计,白厅装饰,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,居住,柏林,
第十七章,高利绘画作品,,存放,柏林,
第十一章,马歇尔·舒伦伯格,Q70910,游历,柏林,
第十一章,西吉斯蒙德·施特赖特,Q90687,演讲,柏林,
第一章,唐·切萨雷·莱奥帕尔迪·多西莫,表中无ID,委托,柏林·格西,Q2897287
第十七章,阿尔加罗蒂墓绘画作品,,现藏,柏林夏洛滕堡宫,
第十七章,泰奥多罗·科雷尔,Q2403974,收藏,拜伦作品,
第十二章,莱昂·帕斯科利,Q1101774,评论,班博乔安蒂风格作品,表中无人名
第一章,委拉斯贵支,Q297,绘制,班博乔安蒂风格作品,
第五章,委拉斯贵支,Q297,创作,班博乔安蒂风格作品,
第五章,彼得·凡·拉尔,Q576907,创立,班博乔安蒂画派,
第五章,高级社会阶层,,支持,班博乔安蒂画派,
第五章,圭多·雷尼,Q109061,批评,班博乔安蒂画派,
第五章,圭多·雷尼,Q109061,憎恨,班博乔安蒂画派,
第一章,贾科莫·博尔戈尼奥内,Q1366347,加入,班博乔安蒂画派,
第五章,贾科莫·博尔戈尼奥内,Q1366347,转向,班博乔安蒂画派,
第五章,米开朗基罗·塞阔齐,Q979862,加入,班博乔安蒂画派,
第五章,萨尔瓦多·罗萨,Q359421,批评,班博乔安蒂画派,
第五章,西班牙人,,支持,班博乔安蒂画派,
第八章,皮埃特罗·摩纳科,Q30888067,身份,版画家,
第十三章,特奥多罗·维埃罗,Q6141801,经营,版画商店,
第十三章,约瑟夫·瓦格纳,Q11728479,经营,版画商店,
第一章,教皇西克斯图斯五世,Q133350,授予,邦蒂尼·贝里尼,Q290407
第一章,腓特烈三世,Q58600,授予,邦蒂尼帕拉蒂尼,Q290407
第八章,费迪南德大公,Q465178,收藏,保罗·布里尔作品,
第八章,加斯帕尔·如莫尔,Q3098722,收藏,保罗·布里尔作品,
第七章,达恩伯爵,Q93365,聘用,保罗·德·马蒂斯,Q1851224
第七章,杜德埃斯特里斯,表中无ID,引荐,保罗·德·马蒂斯,Q1851224
第七章,克塞特勋爵五世,Q15989977,委托,保罗·德·马蒂斯,Q1851224
第七章,沙夫茨伯里三世,Q333294,委托,保罗·德·马蒂斯,Q1851224
第七章,沙夫茨伯里三世,Q333294,指导,保罗·德·马蒂斯,Q1851224
第七章,建筑总督,,派遣,保罗·弗雷亚特·德·钱特娄,Q3371258
第一章序言,弗兰西斯·哈斯克尔,Q320477,引用,保罗·吉罗拉莫·皮奥拉,Q3894101
第六章,马尔切斯·尼科洛·玛丽亚·帕拉维奇尼,Q105105120,邀请,保罗·吉罗拉莫·皮奥拉,Q3894101
第六章,马尔切斯·尼科洛·玛丽亚·帕拉维奇尼,Q105105120,委托,保罗·吉罗拉莫·皮奥拉,Q3894101
第一章,乔凡尼·阿达莫,Q581481,委托,保罗·吉罗拉莫·皮奥拉,Q3894101
第四章,布克哈特,Q3166189,评论,保罗·焦尔达诺,Q21640069
第四章,西蒙·沃特,Q317920,创作,保罗·焦尔达诺,Q21640069
第四章,朱利奥·德拉·格雷卡,表中无ID,制作,保罗·焦尔达诺,Q21640069
第一章,奥塔维奥·莱奥尼,Q389768,描绘,保罗·焦尔达诺·奥尔西尼,Q21640069
第四章,西蒙·沃特,Q317920,绘制,保罗·焦尔达诺半身像,
第四章,朱利奥·德拉·格雷卡,表中无ID,制作,保罗·焦尔达诺勋章,
第十五章,安吉洛·奎里尼,Q536447,密友,保罗·雷尼尔,Q663054
第十五章,安吉洛·奎里尼,Q536447,拒绝,保罗·雷尼尔,Q663054
第十五章,安吉洛·奎里尼,Q536447,友好,保罗·雷尼尔,Q663054
第十五章,安吉洛·奎里尼,Q536447,结交,保罗·雷尼尔,Q663054
第十五章,安东尼奥·卡诺瓦,Q5547,雕刻,保罗·雷尼尔半身像,
第十五章,安吉洛·奎里尼,Q536447,委托,保罗·雷尼尔半身像,
第十五章,安吉洛·奎里尼,Q536447,收藏,保罗·雷尼尔半身像,
第十五章,安吉洛·奎里尼,Q536447,抛弃,保罗·雷尼尔半身像,
第十五章,安吉洛·奎里尼,Q536447,赞助,保罗·雷尼尔半身像,
第十五章,卡诺瓦,Q5547,雕刻,保罗·雷尼尔半身像,
第九章,马塞林,表中无人名,整理,保罗·雷尼尔著作,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,通信,保罗·玛丽亚·帕乔迪,Q3362645
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,赞赏,保罗·委罗内塞,Q9440
第二章,古格列尔莫·德拉·波塔,Q1623328,创作,保罗三世陵墓,
第二章,古列尔莫·德拉·波塔,Q1623328,创作,保罗三世陵墓,
第六章,卡米洛·博尔盖塞,Q132711,继承,保罗五世,Q132711
第十五章,马可·福斯卡里尼,Q1242215,领导,保守党,
第四章,普桑,Q41554,创作,暴风雨中的皮拉摩斯和忒贝,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,推荐,贝恩哈德·罗德,Q465314
第六章,弗拉维奥·奇吉,Q368700,委托,贝尔纳迪诺·梅,Q472391
第七章,埃克塞特勋爵,表中无ID,委托,贝尔纳多·阿塞雷托,Q437724（不确定）
第十章,奥古斯都三世,Q53438,雇用,贝尔纳多·贝洛托,Q164688
第十章,奥古斯都三世,Q53438,任命,贝尔纳多·贝洛托,Q164688
第十章,斯坦尼斯拉斯·波尼亚托夫斯基,Q54019,说服,贝尔纳多·贝洛托,Q164688
第十章,斯坦尼斯拉斯·波尼亚托夫斯基,Q54019,雇佣,贝尔纳多·贝洛托,Q164688
第十章,斯坦尼斯拉斯·波尼亚托夫斯基,Q54019,邀请,贝尔纳多·贝洛托,Q164688
第十章,布鲁尔伯爵,Q214949,购买,贝尔纳多·贝洛托作品,
第八章,《希律王的盛筵》,,影响,贝尔纳多·卡瓦利诺,Q822982
第十七章,巴尔贝里尼家族,,赞助,贝尔尼尼,Q712397
第三章,吉安·保罗·奥利瓦,Q1229189,朋友,贝尔尼尼,Q160538
第十七章,克莱门特九世,Q155961,赞助,贝尔尼尼,Q712397
第十七章,乌尔班八世,Q131579,任命,贝尔尼尼,Q712397
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,赞赏,贝尔尼尼作品,
第八章,尼科洛·梅拉尼科尼奇,Q1625828,抵达,贝加莫,
第六章,弗拉·加尔加利奥,Q1440305,创作,贝加莫肖像作品,
第七章,维托尔·吉斯兰迪,Q1440305,创作,贝加莫作品,
第十七章,德拉·勒拿,表中无ID,欣赏,贝里尼艺术风格,
第十七章,吉罗拉莫·曼弗林,Q16560336,收藏,贝里尼作品,
第十章,白金汉公爵,Q2736244,雇佣,贝鲁奇,Q302062
第十章,约翰·谢菲尔德,Q2736244,雇用,贝鲁奇,Q302062
第十章,詹姆斯·布莱吉斯,Q333238,雇用,贝鲁奇,Q302062
第十章,詹姆斯·布莱吉斯,Q333238,雇佣,贝鲁奇,Q302062
第十七章,列支敦士登宫廷,,委托,贝鲁奇装饰工作,
第十章,奥古斯都二世,Q53437,购买,贝鲁奇作品,
第十章,布鲁尔伯爵,Q214949,购买,贝洛托作品,
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,委托,贝纳迪诺·加格里亚迪,Q4893845
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,收藏,贝纳迪诺·加格里亚迪作品,
第八章,费迪南德大公,Q465178,支持,贝内德托·孟席尼,
第一章序言,弗兰西斯·哈斯克尔,Q320477,悼念,本·尼科尔森,Q320152
第二章,简提列斯基,Q367360,创作,本蒂沃利奥宫殿壁画,
第二章,塔西,Q395741,创作,本蒂沃利奥宫殿壁画,
第七章,詹姆斯二世,Q126188,雇用,本尼迪托·吉纳里,Q580482
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,欣赏,本韦努托·切利尼,Q190116
第八章,费迪南德大公,Q465178,资助,比比耶纳家族,
第八章,费迪南德大公,Q465178,赞助,比比耶纳家族,
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,去世,比萨,
第三章,费德里科·巴罗奇,Q316731,影响,彼得·保罗·鲁本斯,Q5599
第三章,贾科莫·塞拉,Q3105094,推荐,彼得·保罗·鲁本斯,Q5599
第三章,卡拉瓦乔,Q42207,影响,彼得·保罗·鲁本斯,Q5599
第三章,枢机主教巴罗尼奥,Q317900,指导,彼得·保罗·鲁本斯,Q5599
第八章,费迪南德大公,Q465178,收藏,彼得·保罗·鲁本斯作品,
第八章,费迪南德大公,Q465178,收藏,彼得·德·威特作品,
第八章,加斯帕尔·如莫尔,Q3098722,收藏,彼得·德·威特作品,
第七章,利奥波德·威廉大公,Q437295,雇用,彼得·德拉·维琪亚,Q1529806
第五章,罗马,,接纳,彼得·范·拉尔,Q576907
第四章,马尔凯塞·朱斯蒂尼亚尼,Q1396468,赞助,彼得·范·拉尔,Q576907
第一章序言,弗兰西斯·哈斯克尔,Q320477,感谢,彼得·卡尔沃科恩西,Q1364666
第十五章,托斯卡纳大公,Q256580,捐建,彼得拉奇雕像,
第十三章,安东尼奥·扎塔,Q3313574,出版,彼得拉奇著作,
第十三章,扎塔,Q3313574,出版,彼得拉奇著作,
第十三章,丰特巴索,Q447991,创作,彼得拉奇著作插图,
第十三章,弗朗切斯科·佐皮尼,Q3757163,创作,彼得拉奇著作插图,
第十三章,安东尼奥·扎塔,Q3313574,出版,彼得拉奇作品,
第九章,弗拉米尼奥·科墨,Q3746370,传播,彼得罗·阿科纳托福音,
第十一章,约瑟夫·史密斯,Q476702,认识,彼得罗·埃尔科勒·盖拉尔迪,Q55228133
第十七章,吉罗拉莫·曼弗林,Q16560336,雇用,彼得罗·爱德华兹,Q3903848
第十七章,吉罗拉莫·曼弗林,Q16560336,写信,彼得罗·爱德华兹,Q3903848
第十三章,阿尔布里兹,Q21748854,雇佣,彼得罗·安东尼奥·诺韦利,Q1718478
第八章,费迪南德大公,Q465178,收藏,彼得罗·安东尼奥·诺韦利作品,
第十三章,唐·彼得罗·安东尼奥·托尼,Q2374666,顾问,彼得罗·安东尼奥·诺维利,Q1718478
第十三章,唐·彼得罗·安东尼奥·托尼,Q2374666,赞助,彼得罗·安东尼奥·诺维利,Q1718478
第十三章,唐·彼得罗·安东尼奥·托尼,Q2374666,影响,彼得罗·安东尼奥·诺维利,
第十三章,唐·彼得罗·安东尼奥·托尼,Q2374666,指导,彼得罗·安东尼奥·诺维利,Q1718478
第十三章,詹巴蒂斯塔·帕斯夸里,表中无ID,雇佣,彼得罗·安东尼奥·诺维利,Q1718478
第三章,阿方索·杰苏阿尔多,Q1373399,聘请,彼得罗·保罗·奥利维耶里,Q19569719
第七章,阿伦德尔勋爵,Q3784947,委托,彼得罗·贝尔尼尼,Q712397
第二章,安吉洛·朱里,Q536015,监督,彼得罗·贝尔尼尼,Q712397
第二章,巴尔贝里尼家族,,支持,彼得罗·贝尔尼尼,Q712397
第四章,保罗·焦尔达诺,Q519364,赞助,彼得罗·贝尔尼尼,Q712397
第三章,彼得罗·达·科尔托纳,Q333323,影响,彼得罗·贝尔尼尼,Q712397
第二章,查尔斯一世,Q3044,请求,彼得罗·贝尔尼尼,Q712397
第七章,多梅尼科·贝尔尼尼,Q2338440,儿子,彼得罗·贝尔尼尼,Q712397
第七章,费迪南多,Q714792,邀请,彼得罗·贝尔尼尼,Q712397
第五章,费兰特·卡洛,Q98111606,憎恨,彼得罗·贝尔尼尼,Q712397
第二章,弗朗切斯科·博罗米尼,Q123150,协助,彼得罗·贝尔尼尼,Q712397
第十四章,弗朗西斯科·阿尔加罗蒂,Q439081,评价,彼得罗·贝尔尼尼,Q1111180
第四章,弗朗西斯科·巴尔贝里尼,Q2662344,委托,彼得罗·贝尔尼尼,Q712397
第三章,吉安·保罗·奥利瓦,Q1229189,友好,彼得罗·贝尔尼尼,Q712397
第三章,吉安·保罗·奥利瓦,Q1229189,影响,彼得罗·贝尔尼尼,Q712397
第六章,卡米洛·帕姆菲利,Q2935138,赞助,彼得罗·贝尔尼尼,Q712397
第六章,卡米洛·帕姆菲利亲王,Q2935138,支持,彼得罗·贝尔尼尼,Q712397
第四章,卡西亚诺·达尔·波佐,Q1048333,收藏,彼得罗·贝尔尼尼,Q712397
第六章,克莱门特九世,Q155961,赞助,彼得罗·贝尔尼尼,Q712397
第六章,克莱门特九世,Q155961,委托,彼得罗·贝尔尼尼,Q712397
第二章,黎塞留,Q26702,请求,彼得罗·贝尔尼尼,Q712397
第一章,路易十四,Q7742,委托,彼得罗·贝尔尼尼,Q712397
第七章,路易十四,Q7742,支持,彼得罗·贝尔尼尼,Q712397
第七章,路易十四,Q7742,邀请,彼得罗·贝尔尼尼,Q712397
第六章,路易十四,Q7742,邀请,彼得罗·贝尔尼尼,Q712397
第三章,马蒂亚·德·罗西,Q2395202,继任,彼得罗·贝尔尼尼,Q712397
第三章,马蒂亚·德·罗西,Q2395202,协助,彼得罗·贝尔尼尼,Q712397
第三章,马蒂亚·德·罗西,Q2395202,助手,彼得罗·贝尔尼尼,Q712397
第三章,米格尔·德·莫利诺斯,Q969234,影响,彼得罗·贝尔尼尼,Q712397
第二章,尼古拉斯·斯通,Q1985010,记录,彼得罗·贝尔尼尼,Q712397
第十七章,欧文·拉文,Q19753933,研究,彼得罗·贝尔尼尼,Q712397
第七章,让·巴蒂斯特·科尔伯特,Q188971,反对,彼得罗·贝尔尼尼,Q712397
第六章,市政当局,,指控,彼得罗·贝尔尼尼,Q712397
第一章,枢机主教巴尔贝里尼,Q3817341,协助,彼得罗·贝尔尼尼,Q712397
第三章,枢机主教贝拉明,Q298664,委托,彼得罗·贝尔尼尼,Q712397
第一章,枢机主教希皮奥内·鲍格才,Q452570,委托,彼得罗·贝尔尼尼,Q712397
第四章,乌尔班八世,Q131579,委托,彼得罗·贝尔尼尼,Q712397
第三章,乌尔班八世,Q131579,委托,彼得罗·贝尔尼尼,Q712397
第七章,乌尔班八世,Q131579,留住,彼得罗·贝尔尼尼,Q712397
第七章,乌尔班八世,Q131579,支持,彼得罗·贝尔尼尼,Q712397
第六章,乌尔班八世,Q131579,赞助,彼得罗·贝尔尼尼,Q712397
第二章,乌尔班八世,Q131579,赞助,彼得罗·贝尔尼尼,Q712397
第二章,乌尔班八世,Q131579,委托,彼得罗·贝尔尼尼,Q712397
第二章,乌尔班八世,Q131579,授权,彼得罗·贝尔尼尼,Q712397
第二章,乌尔班八世,Q131579,禁止,彼得罗·贝尔尼尼,Q712397
第二章,乌尔班八世,Q131579,支持,彼得罗·贝尔尼尼,Q712397
第二章,希皮奥内·鲍格才,Q452570,委托,彼得罗·贝尔尼尼,Q712397
第六章,亚历山大七世,Q127254,召见,彼得罗·贝尔尼尼,Q712397
第六章,亚历山大七世,Q127254,命令,彼得罗·贝尔尼尼,Q712397
第六章,亚历山大七世,Q127254,赞助,彼得罗·贝尔尼尼,Q712397
第三章,耶稣会,,雇佣,彼得罗·贝尔尼尼,Q712397
第六章,因诺森特十世,Q101266,赞助,彼得罗·贝尔尼尼,Q712397
第十五章,安吉洛·奎里尼,Q536447,收藏,彼得罗·贝尔尼尼雕塑复制品,
第六章,特别委员会,,拆除,彼得罗·贝尔尼尼钟塔,
第十七章,欧文·拉文,Q19753933,分析,彼得罗·贝尔尼尼作品,
第七章,查尔斯二世,Q122553,雇用,彼得罗·贝洛蒂,Q1111180
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,委托,彼得罗·达·科尔托纳,Q333323
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,委托,彼得罗·达·科尔托纳,Q333323
第三章,奥多梅尼焦·莱洛诺蒂·达·法纳诺,表中无ID,合作,彼得罗·达·科尔托纳,Q333323
第三章,奥拉托利会,,委托,彼得罗·达·科尔托纳,Q333323
第十七章,奥托内利,Q98852567,合著,彼得罗·达·科尔托纳,Q333323
第三章,奥托内利神父,Q98852567,合作,彼得罗·达·科尔托纳,Q333323
第十七章,巴尔贝里尼家族,,赞助,彼得罗·达·科尔托纳,Q333323
第二章,巴尔贝里尼家族,,支持,彼得罗·达·科尔托纳,Q333323
第三章,布里蒂奥·普内内蒂,表中无ID,合作,彼得罗·达·科尔托纳,Q333323
第十七章,费迪南德大公,Q465178,雇用,彼得罗·达·科尔托纳,Q333323
第八章,费迪南德大公,Q465178,赞助,彼得罗·达·科尔托纳,Q333323
第一章,弗兰西斯·哈斯克尔,Q320477,比较,彼得罗·达·科尔托纳,Q333323
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,赞助,彼得罗·达·科尔托纳,Q333323
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,推荐,彼得罗·达·科尔托纳,Q333323
第二章,弗朗切斯科·巴尔贝里尼,Q2662344,支持,彼得罗·达·科尔托纳,Q333323
第四章,弗朗西斯科·巴尔贝里尼,Q2662344,赞助,彼得罗·达·科尔托纳,Q333323
第六章,吉安·彼得罗·贝洛里,Q714400,批评,彼得罗·达·科尔托纳,Q333323
第四章,卡西亚诺·达尔·波佐,Q1048333,赞助,彼得罗·达·科尔托纳,Q333323
第一章序言,马塞洛·萨凯蒂,Q6087600,邀请,彼得罗·达·科尔托纳,Q333323
第一章,马塞洛·萨凯蒂,Q6087600,雇佣,彼得罗·达·科尔托纳,Q333323
第二章,马塞洛·萨凯蒂,Q6087600,推荐,彼得罗·达·科尔托纳,Q333323
第二章,马塞洛·萨凯蒂,Q6087600,赞助,彼得罗·达·科尔托纳,Q333323
第二章,马塞洛·萨凯蒂,Q6087600,委托,彼得罗·达·科尔托纳,Q333323
第五章,马塞洛·萨凯蒂家族,,雇佣,彼得罗·达·科尔托纳,Q333323
第一章,皮萨尼家族,,委托,彼得罗·达·科尔托纳,Q333323
第五章,萨尔瓦多·罗萨,Q359421,交好,彼得罗·达·科尔托纳,Q333323
第五章,萨尔瓦多·罗萨,Q359421,认识,彼得罗·达·科尔托纳,Q333323
第一章,马塞洛·萨凯蒂,Q6087600,邀请,彼得罗·达·科尔托纳,Q333323
第四章,乌尔班八世,Q131579,赞助,彼得罗·达·科尔托纳,Q333323
第二章,乌尔班八世,Q131579,赞助,彼得罗·达·科尔托纳,Q333323
第二章,乌尔班八世,Q131579,委托,彼得罗·达·科尔托纳,Q333323
第二章,乌尔班八世,Q131579,支持,彼得罗·达·科尔托纳,Q333323
第三章,雅克·库尔图瓦,Q1366347,认识,彼得罗·达·科尔托纳,Q333323
第三章,亚历山大七世,Q127254,委托,彼得罗·达·科尔托纳,Q333323
第六章,亚历山大七世,Q127254,赞助,彼得罗·达·科尔托纳,Q333323
第三章,因诺森特十世,Q101266,委托,彼得罗·达·科尔托纳,Q333323
第六章,安东尼奥·德格里·埃菲蒂,表中无ID,收藏,彼得罗·达·科尔托纳作品,
第十三章,马菲奥·皮内利,Q56006855,收藏,彼得罗·德拉·维琪亚,Q1529806
第16章,乔瓦尼·维安内洛,表中无ID,喜爱,彼得罗·德拉·维琪亚,Q1529806
第十三章,马菲奥·皮内利,Q56006855,收藏,彼得罗·德拉·维琪亚作品,
第16章,乔瓦尼·维安内洛,表中无ID,收藏,彼得罗·德拉·维琪亚作品,
第16章,乔瓦尼·维安内洛,表中无ID,喜爱,彼得罗·德拉·维琪亚作品,
第一章序言,教皇克莱门特十一世,Q129967,雇佣,彼得罗·迪·彼得里,Q3903654
第七章,费迪南德大公,Q465178,委托,彼得罗·弗兰卡维利亚,Q1367872
第七章,弗朗西斯·波多尼,Q13408027,女婿,彼得罗·弗兰卡维利亚,Q1367872
第十章,奥古斯都三世,Q53438,雇用,彼得罗·瓜里恩蒂,Q3388136
第十章,奥古斯都三世,Q53438,委托,彼得罗·瓜里恩蒂,Q3388136
第十二章,威尼斯,,驱逐,彼得罗·吉安诺尼,Q1379553
第八章,费迪南德大公,Q465178,委托,彼得罗·利贝里,Q979467
第七章,埃克塞特勋爵,表中无ID,委托,彼得罗·利比里,Q979467
第七章,利奥波德一世,Q150494,委托,彼得罗·利比里,Q979467
第七章,玛丽·德·美第奇,Q182021,雇用,彼得罗·利比里,Q3904001
第十二章,埃尔玛劳·保莱蒂,Q3619549,记录,彼得罗·隆吉,Q447058
第十二章,戈尔多尼,Q165534,赞扬,彼得罗·隆吉,Q447058
第十二章,加斯帕罗·高兹,Q1232503,评论,彼得罗·隆吉,Q447058
第十二章,加斯帕罗·高兹,Q1232505,比较,彼得罗·隆吉,Q447058
第十三章,雷蒙迪尼公司,,雇佣,彼得罗·隆吉,Q447058
第十五章,亚历山德罗·隆吉,Q1855242,继承,彼得罗·隆吉,Q447058
第十七章,亚历山德罗·隆吉,Q1855242,儿子,彼得罗·隆吉,Q447058
第十二章,埃尔玛劳·保莱蒂,Q3619549,记录,彼得罗·隆吉生平,
第十七章,亚历山德罗·隆吉,Q1855242,拥有,彼得罗·隆吉肖像,
第十三章,雷蒙迪尼公司,,出版,彼得罗·隆吉作品,
第十七章,泰奥多罗·科雷尔,Q2403974,收藏,彼得罗·隆吉作品,
第八章,费迪南德大公,Q465178,委托,彼得罗·马尼,表中无ID
第十三章,维埃罗,Q6141801,再版,彼得罗·摩纳哥版画集,
第四章,保罗·焦尔达诺,Q519364,赞助,彼得罗·穆里尔,Q666337
第十章,奥古斯都二世,Q53437,购买,彼得罗·内格里作品,
第四章,卡米洛·马西斯米,Q1081422,委托,彼得罗·桑托·巴托利,Q1106798
第四章,卡西亚诺·达尔·波佐,Q1048333,赞助,彼得罗·泰斯塔,Q2155480
第五章,西蒙内利,Q97072945,借钱,彼得罗·泰斯塔,Q2155480
第十二章,乔凡尼·彼得罗·利加里奥,Q3904001,通信,彼得罗·维斯康蒂,Q127230626
第十二章,W. 阿尔斯兰,Q4018329,出版,彼得罗·维斯康蒂信,
第十五章,安德里亚·梅莫,Q1052776,辩论,彼得罗·扎古里,Q3903649
第十五章,安吉洛·奎里尼,Q536447,辩论,彼得罗·扎古里,Q3903649
第四章,马斯西米,Q1081418,委托,波德斯塔,Q4755099
第八章,费迪南德大公,Q465178,收藏,波尔代诺内作品,
第八章,《艺术的寓言》,,创作于,波焦·阿·卡亚诺别墅,
