Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category,Wikidata_QID,Wikidata_Label,Wikidata_Description,Wikidata_Candidates
Index,Unmatched (Index),"Gerini, Marchese Andrea",E22 Man-Made Object,,,,G,Unmatched Index Entry,Andrea Gerini,Person (Reclassified),Q44635166,Andrea Gerini,,Q44635166 (Andrea Gerini: )
Index,Unmatched (Index),German patronage,E28 Conceptual Object,,,,G,Unmatched Index Entry,German patronage,Work,,,,No match found
Index,Unmatched (Index),"German princes, taste in art",E21 Person,,,,G,Unmatched Index Entry,Taste in art German princes,Person,,,,No match found
Index,Unmatched (Index),"Gesualdo, Cardinal",E21 Person,,,,G,Unmatched Index Entry,Gesualdo,Person,Q3761409,Gesualdo,male given name,"Q3761409 (Gesualdo: male given name) | Q192958 (Carlo Gesualdo: Italian prince, composer and murderer (1566–1613)) | Q19702997 (Gesualdo: opera by Alfred Schnittke) | Q55037 (Gesualdo: Italian comune) | Q37510706 (Gesualdo: family name)"
Index,Unmatched (Index),Gesuati,E74 Group,,,,G,Unmatched Index Entry,Gesuati,Place,Q1093909,Gesuati,Venetian church,Q1093909 (Gesuati: Venetian church) | Q20355258 (Gesuati: painting by Richard Mortensen) | Q769314 (Jesuati: Italian religious order (1360–1668)) | Q1519732 (Gesuati: Wikimedia disambiguation page)
Index,Unmatched (Index),"Gherardi, Antonio",E21 Person,,,,G,Unmatched Index Entry,Antonio Gherardi,Person,Q531430,Antonio Gherardi,Italian painter (1638-1702),Q531430 (Antonio Gherardi: Italian painter (1638-1702))
Index,Unmatched (Index),"Ghibbesio, Jacopo",E21 Person,,,,G,Unmatched Index Entry,Jacopo Ghibbesio,Person,,,,No match found
Index,Unmatched (Index),"Ghisolfi, Giovanni",E21 Person,,,,G,Unmatched Index Entry,Giovanni Ghisolfi,Person,Q3767359,Giovanni Ghisolfi,Italian painter (1623-1683),Q3767359 (Giovanni Ghisolfi: Italian painter (1623-1683))
Index,Unmatched (Index),"Gimignani, Lodovico",E21 Person,,,,G,Unmatched Index Entry,Lodovico Gimignani,Person,Q3839112,Ludovico Gimignani,Italian painter (1643-1697),Q3839112 (Ludovico Gimignani: Italian painter (1643-1697))
Index,Unmatched (Index),"Ginnasi, Cardinal",E21 Person,,,,G,Unmatched Index Entry,Ginnasi,Person,Q106855624,Ginnasi,family name,"Q106855624 (Ginnasi: family name) | Q104088605 (Ginnasi, Cattarina: encyclopedia article) | Q52837763 (Ginnasi Alessandro: primary school in Castel Bolognese, Ravenna, Emilia-Romagna, Italy) | Q52948014 (Ginnasio Bonifacio VIII: middle school in Anagni, Frosinone, Lazio, Italy) | Q1237172 (Domenico Ginnasi: Italian cardinal)"
Index,Unmatched (Index),Giotto,E21 Person,,,,G,Unmatched Index Entry,Giotto,Person,Q3766029,Giotto,male given name,Q3766029 (Giotto: male given name) | Q7814 (Giotto: Italian painter and architect (c. 1267–1337)) | Q660356 (Giotto: retired ESA spacecraft which visited Comets Halley and Grigg-Skjellerup) | Q582454 (7367 Giotto: asteroid) | Q29728501 (vib: protein-coding gene in the species Drosophila melanogaster)
Index,Unmatched (Index),Giovanelli collection,E22 Man-Made Object,,,,G,Unmatched Index Entry,Giovanelli collection,Work,,,,No match found
Index,Unmatched (Index),"Girardon, François",E21 Person,,,,G,Unmatched Index Entry,François Girardon,Person,Q712497,François Girardon,sculptor from France (1628–1715),"Q712497 (François Girardon: sculptor from France (1628–1715)) | Q115672587 (François Girardon (1628-1715), sculpteur: painting by Gabriel Revel) | Q133503549 (Porträt des François Girardon: painting by Joseph Vivien) | Q105733215 (François Girardon Sokağı: street in Toulouse, Haute-Garonne, Occitania, France)"
Index,Unmatched (Index),Giustiniani family,E74 Group,,,,G,Unmatched Index Entry,Giustiniani family,Place,Q2419696,Giustiniani,"prominent Italian family originally from Venice, but also Genoa, Naples, Corsica and in the islands of the Archipelago","Q2419696 (Giustiniani: prominent Italian family originally from Venice, but also Genoa, Naples, Corsica and in the islands of the Archipelago) | Q103926652 (Giustiniani family (i): encyclopedia article) | Q103926660 (Giustiniani family (ii): encyclopedia article)"
Index,Unmatched (Index),"Giustiniani, Abbate Michele",E21 Person,,,,G,Unmatched Index Entry,Abbate Michele Giustiniani,Person,,,,No match found
Index,Unmatched (Index),"Giustiniani, Andrea",E21 Person,,,,G,Unmatched Index Entry,Andrea Giustiniani,Person,Q106395490,Andrea Giustiniani,,"Q106395490 (Andrea Giustiniani: ) | Q27915618 (Andrea Giustiniani: ) | Q61412973 (Andrea Giustiniani, I principe di Bassano: Italian nobleman)"
Index,Unmatched (Index),"Giustiniani, Benedetto",E21 Person,,,,G,Unmatched Index Entry,Benedetto Giustiniani,Person,Q110818894,Benedetto Giustiniani,Italian Jesuit theologian (1550-1622),Q110818894 (Benedetto Giustiniani: Italian Jesuit theologian (1550-1622)) | Q1079785 (Benedetto Giustiniani: Catholic cardinal) | Q68904526 (Benedetto Giustiniani: Roman Catholic bishop)
Index,Unmatched (Index),"Giustiniani, Marchese Vincenzo",E22 Man-Made Object,,,,G,Unmatched Index Entry,Vincenzo Giustiniani,Person (Reclassified),Q4013311,Vincenzo Giustiniani,Roman Catholic bishop (1590-1645),"Q4013311 (Vincenzo Giustiniani: Roman Catholic bishop (1590-1645)) | Q25206732 (Vincenzo Giustiniani: Roman Catholic bishop (1550-1614)) | Q1396468 (Vincenzo Giustiniani: Italian banker and art collector (1564-1637)) | Q1117313 (Vincenzo Giustiniani: Italian cardinal (1516-1582)) | Q75347651 (Vincenzo Giustiniani, 6th Prince Giustaniani: (1762-1826))"
Index,Unmatched (Index),"Gloucester, William Henry, 1st Duke of",E21 Person,,,,G,Unmatched Index Entry,"William Henry, 1st of Gloucester",Person,,,,No match found
Index,Unmatched (Index),Gondi palace,E22 Man-Made Object,,,,G,Unmatched Index Entry,Palazzo Gondi,Place (Reclassified),Q1083014,Palazzo Gondi,palazzo,"Q1083014 (Palazzo Gondi: palazzo) | Q106448406 (Palazzo Gondi de Prat: palace in via Torta, Florence, Italy)"
Index,Unmatched (Index),Gonzaga,E74 Group,,,,G,Unmatched Index Entry,Gonzaga,Place,Q49317,Gonzaga,municipality of the Philippines in the province of Cagayan,"Q49317 (Gonzaga: municipality of the Philippines in the province of Cagayan) | Q10507523 (Gonzaga: genus of insects) | Q57544475 (Gonzaga: male given name) | Q1537303 (Gonzaga University: private Catholic Jesuit university in Spokane, Washington, US) | Q594373 (House of Gonzaga: Italian noble family)"
Index,Unmatched (Index),"Gonzalez, Tirso",E21 Person,,,,G,Unmatched Index Entry,Tirso Gonzalez,Person,,,,Q64029993 (Tirso Gonzalez Alam: researcher) | Q90880704 (Tirso González-Pinto: researcher (ORCID 0000-0003-0560-5810)) | Q646701 (Thyrsus González de Santalla: Roman Catholic priest (1624-1705))
Index,Unmatched (Index),"Gori, A. F.",E21 Person,,,,G,Unmatched Index Entry,A. F. Gori,Person,Q778529,Antonio Francesco Gori,Italian antiquarian,Q778529 (Antonio Francesco Gori: Italian antiquarian)
Index,Unmatched (Index),"Gozadini, Bonisezio",E21 Person,,,,G,Unmatched Index Entry,Bonisezio Gozadini,Person,,,,No match found
Index,Unmatched (Index),"Gozzadini, Cardinal",E21 Person,,,,G,Unmatched Index Entry,Gozzadini,Person,Q15140935,Gozzadini,family name,"Q15140935 (Gozzadini: family name) | Q16561526 (Gozzadini: noble family) | Q52824721 (Gozzadini: kindergarten in Bologna, Bologna, Emilia-Romagna, Italy) | Q52813772 (Gozzadini Sant'Orsola-Sez. Ospedaliera: professional institute in Bologna, Bologna, Emilia-Romagna, Italy) | Q52840888 (Gozzadini-Castenaso: primary school in Castenaso, Bologna, Emilia-Romagna, Italy)"
Index,Unmatched (Index),Grassi collection,E22 Man-Made Object,,,,G,Unmatched Index Entry,Grassi collection,Work,,,,No match found
Index,Unmatched (Index),Grassi family,E74 Group,,,,G,Unmatched Index Entry,Grassi family,Place,,,,"Q131823370 (Grassi Family Coat of Arms: jewelry in the Medieval Civic Museum, Bologna, Italy, by Properzia de' Rossi)"
Index,Unmatched (Index),"Graziani, Ercole",E21 Person,,,,G,Unmatched Index Entry,Ercole Graziani,Person,,,,Q5385225 (Ercole Graziani the Younger: Italian painter (1688-1765)) | Q97583522 (Ercole Graziani the Elder: Italian artist (1651–1726))
Index,Unmatched (Index),Gregory XV,E21 Person,,,,G,Unmatched Index Entry,Gregory XV,Person,Q132692,Gregory XV,pope of the Catholic Church from 1621 to 1623 (1554–1623),"Q132692 (Gregory XV: pope of the Catholic Church from 1621 to 1623 (1554–1623)) | Q43734 (Gregory XVI: Pope of the Catholic Church from 1831 to 1846 (1765–1846)) | Q2477056 (Sergio María: pope of the Palmarian Christian Church (1959)) | Q115347380 (Gregory XVI, Pope (1765-1846): painting by Paul Delaroche) | Q63861835 (Gregory XVI (Bartolomeo Alberto Cappellari, 1765-1846), Pope 1830 [obverse]: sculpture in the National Gallery of Art (NGA 129055))"
Index,Unmatched (Index),"Greiffenklau, Karl Philip von",E21 Person,,,,G,Unmatched Index Entry,Karl Philip von Greiffenklau,Person,,,,No match found
Index,Unmatched (Index),"Grill, Angelica",E21 Person,,,,G,Unmatched Index Entry,Angelica Grill,Person,,,,No match found
Index,Unmatched (Index),"Grimani, Cardinal",E21 Person,,,,G,Unmatched Index Entry,Grimani,Person,Q54878525,Grimani,family name,"Q54878525 (Grimani: family name) | Q1313794 (Grimani: Venetian patrician family) | Q2993397 (Grimani Breviary: 16th-century illuminated breviary from Flanders) | Q88685581 (Grimani, Girolamo (BLKÖ): entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 5, p. 352)) | Q88685603 (Grimani, Peter (BLKÖ): entry in the Biographisches Lexikon des Kaiserthums Oesterreich (vol. 5, p. 352))"
Index,Unmatched (Index),"Grimani, Doge",E21 Person,,,,G,Unmatched Index Entry,Doge Grimani,Person,,,,No match found
Index,Unmatched (Index),"Grosley, Pierre Jean",E21 Person,,,,G,Unmatched Index Entry,Pierre Jean Grosley,Person,,,,Q1530909 (Pierre-Jean Grosley: French writer) | Q103877555 (Pierre Jean Grosley [groslpierr001840]: article in Electronic Enlightenment)
Index,Unmatched (Index),"Gruppello, Gabriel",E21 Person,,,,G,Unmatched Index Entry,Gabriel Gruppello,Person,,,,No match found
Index,Unmatched (Index),"Guarana, Giacomo",E21 Person,,,,G,Unmatched Index Entry,Giacomo Guarana,Person,Q3805882,Jacopo Guarana,Italian painter (1720-1808),Q3805882 (Jacopo Guarana: Italian painter (1720-1808))
Index,Unmatched (Index),"Guardi, Gian Antonio",E21 Person,,,,G,Unmatched Index Entry,Gian Antonio Guardi,Person,Q590969,Giovanni Antonio Guardi,Italian painter (1699–1760),Q590969 (Giovanni Antonio Guardi: Italian painter (1699–1760))
Index,Unmatched (Index),Guercino (Francesco Barbieri),E53 Place,,,,G,Unmatched Index Entry,Guercino,Place,Q334262,Guercino,painter of the Italian 17th century (1591–1666),"Q334262 (Guercino: painter of the Italian 17th century (1591–1666)) | Q110090975 (Guercino's Design Books: engraving - print made by Francesco Curti) | Q104701077 (Guercino: complete catalog of paintings: catalogue raisonné) | Q35989701 (Guercino statue: statue of the painter Guercino in Cento, Ferrara, Italy) | Q125525329 (Guercino-school: )"
Index,Unmatched (Index),Gustavus Adolphus of Sweden,E21 Person,,,,G,Unmatched Index Entry,Gustavus Adolphus of Sweden,Person,Q52938,Gustavus Adolphus of Sweden,Swedish king (regent 1611–1632) (1594–1632),"Q52938 (Gustavus Adolphus of Sweden: Swedish king (regent 1611–1632) (1594–1632)) | Q107494398 (Gustavus Adolphus of Sweden: sculpture at main square, Borås Municipality, Sweden) | Q43689852 (Gustavus Adolphus of Sweden at the Battle of Breitenfeld: painting by Johann Walter) | Q28809142 (Gustavus Adolphus of Sweden (1594-1632): painting by Matthaeus Merian the Elder)"
Index,Unmatched (Index),Gustavus III of Sweden,E21 Person,,,,G,Unmatched Index Entry,Gustavus III of Sweden,Person,,,,No match found
Index,Unmatched (Index),"Guzman, Gasparo de Haro y",E21 Person,,,,G,Unmatched Index Entry,Gasparo de Haro y Guzman,Person,Q380763,"Gaspar Méndez de Haro, 7th Marquis of Carpio",Spanish noble (1629-1687),"Q380763 (Gaspar Méndez de Haro, 7th Marquis of Carpio: Spanish noble (1629-1687))"
Index,Unmatched (Index),"Halifax, Earl of",E21 Person,,,,H,Unmatched Index Entry,Of Halifax,Person,,,,Q433841 (Johannes de Sacrobosco: English astronomer and mathematician)
Index,Unmatched (Index),"Handel, George Frederick",E21 Person,,,,H,Unmatched Index Entry,George Frederick Handel,Person,Q7302,George Frideric Handel,German-British Baroque composer (1685–1759),Q7302 (George Frideric Handel: German-British Baroque composer (1685–1759)) | Q50821490 (George Frederick Handel: painting by Thomas Hudson) | Q5539462 (George Frederick Handel: sculpture by Louis-François Roubiliac) | Q28034433 (George Frederick Handel (1685-1759): painting by After Thomas Hudson) | Q28026251 (George Frederick Handel (1685-1759): painting by Thomas Hudson)
Index,Unmatched (Index),Hapsburg collections from Prague,E22 Man-Made Object,,,,H,Unmatched Index Entry,Hapsburg collections from Prague,Work,,,,No match found
Index,Unmatched (Index),Hapsburg patronage of Venetian artists,E28 Conceptual Object,,,,H,Unmatched Index Entry,Hapsburg patronage of Venetian artists,Work,,,,No match found
Index,Unmatched (Index),"Harrach, Count",E21 Person,,,,H,Unmatched Index Entry,Harrach,Person,Q91013374,Harrach,family name,Q91013374 (Harrach: family name) | Q147816 (Harrachov: town in Czechia) | Q689050 (House of Harrach: Austrian family of Czech origin) | Q87206970 (Harrachia: genus of plants) | Q873107 (Schloss Rohrau: château)
Index,Unmatched (Index),"Helmbrecker, Theodor",E21 Person,,,,H,Unmatched Index Entry,Theodor Helmbrecker,Person,,,,No match found
Index,Unmatched (Index),Henri III of France,E53 Place,,,,H,Unmatched Index Entry,Henri III of France,Place,Q107209808,Henri III of France,painting by Nicholas Hilliard,Q107209808 (Henri III of France: painting by Nicholas Hilliard)
Index,Unmatched (Index),Henri IV of France,E53 Place,,,,H,Unmatched Index Entry,Henri IV of France,Place,,,,Q106368883 (Henri IV of France Taking Leave of Gabrielle d'Estrées: painting by M. Rieg) | Q106368881 (Henri IV of France Visiting the Miller Michaud: painting by M. Rieg) | Q124361093 (Henri IV of France at the court of Catherine de' Medici: painting by Aimée Brune-Pagès)
Index,Unmatched (Index),"Henrietta Maria, Queen of England",E21 Person,,,,H,Unmatched Index Entry,Of England Henrietta Maria,Person,,,,No match found
Index,Unmatched (Index),"Hervey, Lord",E21 Person,,,,H,Unmatched Index Entry,Hervey,Person,Q21493044,Hervey,family name,Q21493044 (Hervey: family name) | Q21079775 (Hervey: male given name) | Q26988 (Cook Islands: country in the South Pacific Ocean in free association with New Zealand) | Q3396073 (Hervey le Breton: Bishop of Bangor; Bishop of Ely) | Q55026819 (Hervey: operatic character in the opera Anna Bolena by Gaetano Donizetti; court official)
Index,Unmatched (Index),"Hildebrandt, Lucas von",E21 Person,,,,H,Unmatched Index Entry,Lucas von Hildebrandt,Person,Q84507,Johann Lukas von Hildebrandt,Austrian architect (1668-1745),Q84507 (Johann Lukas von Hildebrandt: Austrian architect (1668-1745))
Index,Unmatched (Index),"Honthorst, Gerrit van",E21 Person,,,,H,Unmatched Index Entry,Gerrit van Honthorst,Person,Q314548,Gerard van Honthorst,Dutch Golden Age painter (1592-1656),Q314548 (Gerard van Honthorst: Dutch Golden Age painter (1592-1656)) | Q65024309 (Gerrit van Honthorst: print in the National Gallery of Art (NGA 10774)) | Q74887441 (Gerrit van Honthorst: print in the National Gallery of Art (NGA 71998)) | Q114861446 (Gerrit van Honthorst: A Discussion of his Position in Dutch Art: monograph and catalog by J. Richard Judson) | Q106827050 (Gerrit van Honthorst: 1592-1656: catalog raisonné by J. Richard Judson and Rudolf E. O. Ekkart)
Index,Unmatched (Index),Horace,E21 Person,,,,H,Unmatched Index Entry,Horace,Person,Q18402099,Horace,male given name,Q18402099 (Horace: male given name) | Q112655889 (Horace: 2019 video game) | Q37555873 (Horace: family name) | Q6197 (Horace: Roman lyric poet (65 BC – 8 BC)) | Q161145 (Horace Vernet: French painter (1789–1863))
Index,Unmatched (Index),"Hume, A.",E21 Person,,,,H,Unmatched Index Entry,A. Hume,Person,,,,Q111721332 (Alfred Hume Griffith: [occupation:medical missionary] [dates:1875] [archive:British Biographical Archive])
Index,Unmatched (Index),"Ignatius, St",E21 Person,,,,I,Unmatched Index Entry,St Ignatius,Person,,,,"Q780366 (St. Ignatius College Prep: high school in Chicago, Illinois, USA) | Q3463849 (Saint Ignatius' College, Riverview: Catholic boys' school in Sydney, Australia) | Q44281 (Ignatius of Loyola: Spanish Catholic priest and theologian (1491–1556)) | Q16900479 (St Ignatius Church, Galway: church building in Galway, Ireland) | Q28017378 (St Ignatius Loyola: painting by Francisco Zurbaran)"
Index,Unmatched (Index),Illustrated books,E22 Man-Made Object,,,,I,Unmatched Index Entry,Illustrated books,Work,,,,Q123231132 (Illustrated Books of Chinese Animals: )
Index,Unmatched (Index),Indecency and the erotic,E28 Conceptual Object,,,,I,Unmatched Index Entry,Indecency and the erotic,Work,,,,No match found
Index,Unmatched (Index),Indecency in art,E28 Conceptual Object,,,,I,Unmatched Index Entry,Indecency in art,Work,,,,No match found
Index,Unmatched (Index),"Innocent X, Pope",E21 Person,,,,I,Unmatched Index Entry,Innocent X,Person,Q101266,Innocent X,pope from 1644 to 1655,Q101266 (Innocent X: pope from 1644 to 1655) | Q101286 (Innocent XI: pope of the Catholic Church from 1676 to 1689) | Q133100 (Innocent XIII: pope of the Catholic Church from 1721 to 1724) | Q132708 (Innocent XII: pope of the Catholic Church from 1691 to 1700) | Q116913483 (Innocent X: painting by Wolfgang Heimbach)
Index,Unmatched (Index),"Innocent XII, Pope",E21 Person,,,,I,Unmatched Index Entry,Innocent XII,Person,Q132708,Innocent XII,pope of the Catholic Church from 1691 to 1700,"Q132708 (Innocent XII: pope of the Catholic Church from 1691 to 1700) | Q133100 (Innocent XIII: pope of the Catholic Church from 1721 to 1724) | Q103935650 (Innocent XII, Pope: encyclopedia article) | Q103935659 (Innocent XIII, Pope: encyclopedia article) | Q123554387 (Innocent XIII: print by Etienne DESROCHERS)"
Index,Unmatched (Index),"Jabach, Everard",E21 Person,,,,J，K,Unmatched Index Entry,Everard Jabach,Person,Q103934,Everhard Jabach,German private banker (1618–1695),Q103934 (Everhard Jabach: German private banker (1618–1695))
Index,Unmatched (Index),James III of England,E21 Person,,,,J，K,Unmatched Index Entry,James III of England,Person,,,,No match found
Index,Unmatched (Index),Jesuits,E74 Group,,,,J，K,Unmatched Index Entry,Jesuits,Place,Q36380,Society of Jesus,male religious institute of the Roman Catholic Church,"Q36380 (Society of Jesus: male religious institute of the Roman Catholic Church) | Q28028212 (Jesuits of America: fonds of archival documents in the National Archives of Chile) | Q1516392 (Jesuits Law: 19th-century German law regarding Jesuits) | Q10351458 (Jesuits' Bridge: historic bridge in the city of Rio de Janeiro, Brazil) | Q76170669 (USA Northeast Province of the Society of Jesus: American religious organization (2014-2020))"
Index,Unmatched (Index),Johann Georg III of Saxony,E21 Person,,,,J，K,Unmatched Index Entry,Johann Georg III of Saxony,Person,,,,No match found
Index,Unmatched (Index),"Johann Wilhelm, Elector Palatinate",E21 Person,,,,J，K,Unmatched Index Entry,Elector Palatinate Johann Wilhelm,Person,,,,No match found
Index,Unmatched (Index),"John Sobieski, King of Poland",E21 Person,,,,J，K,Unmatched Index Entry,Of Poland John Sobieski,Person,,,,No match found
Index,Unmatched (Index),Justinus,E21 Person,,,,J，K,Unmatched Index Entry,Justinus,Person,Q19915017,Justinus,male given name,Q19915017 (Justinus: male given name) | Q77280 (Justinus Kerner: German poet and medical writer (1786-1862)) | Q112731172 (Justinus: ancient Roman cognomen) | Q63405949 (Justinus: Christian martyred in the 1st or 3rd century) | Q25420924 (Justin: 2nd century c.e. Gnostic Christian scholar)
Index,Unmatched (Index),Justus of Ghent,E21 Person,,,,J，K,Unmatched Index Entry,Justus of Ghent,Person,Q515796,Justus van Gent,Flemish painter (1430–1480),Q515796 (Justus van Gent: Flemish painter (1430–1480)) | Q103939545 (Justus of Ghent: encyclopedia article)
Index,Unmatched (Index),La Harpe,E21 Person,,,,L,Unmatched Index Entry,La Harpe,Person,Q578765,La Harpe,"city in Hancock County, Illinois, United States","Q578765 (La Harpe: city in Hancock County, Illinois, United States) | Q1938119 (La Harpe: city in Allen County, Kansas, United States) | Q3380954 (Philippe de La Harpe: Swiss physician (1830-1882)) | Q16871715 (La Harpe: family name) | Q76480277 (de La Harpe: family name)"
Index,Unmatched (Index),"La Vrillière, Louis Phélipeaux de",E21 Person,,,,L,Unmatched Index Entry,Louis Phélipeaux de La Vrillière,Person,,,,No match found
Index,Unmatched (Index),Labia collection,E22 Man-Made Object,,,,L,Unmatched Index Entry,Labia collection,Work,,,,No match found
Index,Unmatched (Index),Labia family,E74 Group,,,,L,Unmatched Index Entry,Labia family,Place,Q17180589,Labia family,noble family of Venice,Q17180589 (Labia family: noble family of Venice)
Index,Unmatched (Index),"Lancellotti, Abate",E21 Person,,,,L,Unmatched Index Entry,Lancellotti,Person,Q37553614,Lancellotti,family name,"Q37553614 (Lancellotti: family name) | Q3826638 (House of Lancellotti: Italian noble family) | Q18441228 (Lancellotti, Modena: human settlement in Italy) | Q1787553 (Lancellotti-Torres Palace: palazzo in Rome, Italy) | Q29884065 (Lancellotti square: square in Visciano, Italy)"
Index,Unmatched (Index),"Landscapes, varying reactions to",E21 Person,,,,L,Unmatched Index Entry,Varying reactions to Landscapes,Person,,,,No match found
Index,Unmatched (Index),"Langetti, Giovanni Battista",E21 Person,,,,L,Unmatched Index Entry,Giovanni Battista Langetti,Person,Q1525882,Giovan Battista Langetti,Italian painter (1635-1676),Q1525882 (Giovan Battista Langetti: Italian painter (1635-1676))
Index,Unmatched (Index),"LeBlon, Jakob Christoffel",E21 Person,,,,L,Unmatched Index Entry,Jakob Christoffel LeBlon,Person,,,,No match found
Index,Unmatched (Index),"Legros, Pierre",E21 Person,,,,L,Unmatched Index Entry,Pierre Legros,Person,Q423028,Pierre Le Gros,Wikimedia disambiguation page,Q2093685 (Pierre Le Gros the Younger: sculptor from France (1666-1719)) | Q2604375 (Pierre Le Gros the Elder: French artist (1629–1714)) | Q423028 (Pierre Le Gros: Wikimedia disambiguation page) | Q131988331 (Pierre Legros: ) | Q11095118 (Pierre Legros: Wikimedia disambiguation page)
Index,Unmatched (Index),"Lemaire, Jean",E21 Person,,,,L,Unmatched Index Entry,Jean Lemaire,Person,Q212445,Jean Lemaire,French painter,Q212445 (Jean Lemaire: French painter) | Q3173159 (Jean Lemaire: French lawyer (1904–1986)) | Q102292314 (Jean Lemaire: Docteur en Sciences Université Libre de Bruxelles 1973) | Q104382708 (Jean Lemaire: ) | Q62523508 (Jean Lemaire: French politician)
Index,Unmatched (Index),"Lena, Innocenzo della",E21 Person,,,,L,Unmatched Index Entry,Innocenzo della Lena,Person,Q132952617,Innocenzo Della Lena,,Q132952617 (Innocenzo Della Lena: )
Index,Unmatched (Index),"Leopold I, Grand Duke of Tuscany",E21 Person,,,,L,Unmatched Index Entry,Grand of Tuscany Leopold I,Person,,,,No match found
Index,Unmatched (Index),"Leopold Wilhelm, Archduke",E22 Man-Made Object,,,,L,Unmatched Index Entry,"Leopold Wilhelm, Archduke",Work,,,,No match found
Index,Unmatched (Index),"Letterini, Bartolommeo",E21 Person,,,,L,Unmatched Index Entry,Bartolommeo Letterini,Person,Q4865512,Bartolomeo Letterini,Italian painter (1669-1748),Q4865512 (Bartolomeo Letterini: Italian painter (1669-1748))
Index,Unmatched (Index),Liechtenstein family,E74 Group,,,,L,Unmatched Index Entry,Liechtenstein family,Place,,,,"Q21490393 (Liechtenstein Family Vault: in Vranov u Brna) | Q61809145 (Liechtenstein family vault: ) | Q27942410 (Liechtenstein Family Allowances Act referendum, 2016: referendum) | Q6543975 (Liechtenstein family grants referendum, 1965: )"
Index,Unmatched (Index),"Liechtenstein, Prince Wenzel of",E21 Person,,,,L,Unmatched Index Entry,Wenzel of Liechtenstein,Person,,,,No match found
Index,Unmatched (Index),"Ligari, Gian Pietro",E21 Person,,,,L,Unmatched Index Entry,Gian Pietro Ligari,Person,Q3904001,Giovanni Pietro Ligario,Italian painter (1686-1752),"Q52857897 (Gian Pietro Ligari - Sondrio: primary school in Sondrio, Sondrio, Lombardy, Italy) | Q3904001 (Giovanni Pietro Ligario: Italian painter (1686-1752))"
Index,Unmatched (Index),"Locke, John",E21 Person,,,,L,Unmatched Index Entry,John Locke,Person,Q9353,John Locke,English philosopher and physician (1632–1704),Q9353 (John Locke: English philosopher and physician (1632–1704)) | Q1700872 (John Locke: American politician (1764-1855)) | Q4265771 (John Locke: Canadian politician (1825-1873)) | Q116094054 (John Locke: ) | Q51311 (John Locke: fictional character of the TV series Lost)
Index,Unmatched (Index),"Lodoli, Padre Carlo",E21 Person,,,,L,Unmatched Index Entry,Padre Carlo Lodoli,Person,,,,No match found
Index,Unmatched (Index),London,E53 Place,,,,L,Unmatched Index Entry,London,Place,Q84,London,capital and largest city of England and the United Kingdom,"Q84 (London: capital and largest city of England and the United Kingdom) | Q92561 (London: city in Southwestern Ontario, Canada) | Q1137581 (The London Gazette: journal of record of the British government) | Q935090 (London Records: UK multi-national record label) | Q1001456 (London: city in Madison County, Ohio, United States)"
Index,Unmatched (Index),"Longhena, Baldassare",E21 Person,,,,L,Unmatched Index Entry,Baldassare Longhena,Person,Q316297,Baldassarre Longhena,"Italian architect, sculptor","Q316297 (Baldassarre Longhena: Italian architect, sculptor) | Q116784315 (Baldassare Longhena and venetian baroque architecture: monograph on Baldassare Longhena by Andrew Hopkins published in 2012)"
Index,Unmatched (Index),"Longhi, Martino, the Elder",E21 Person,,,,L,Unmatched Index Entry,"Martino, the Elder Longhi",Person,,,,No match found
Index,Unmatched (Index),"Longhi, Martino, the Younger",E21 Person,,,,L,Unmatched Index Entry,"Martino, the Younger Longhi",Person,Q376713,Martino Longhi the Younger,Italian architect (1602–1660),Q376713 (Martino Longhi the Younger: Italian architect (1602–1660))
Index,Unmatched (Index),"Lorca, Bernardino",E21 Person,,,,L,Unmatched Index Entry,Bernardino Lorca,Person,,,,No match found
Index,Unmatched (Index),Lorenzini,E21 Person,,,,L,Unmatched Index Entry,Lorenzini,Person,Q27942755,Lorenzini,family name,"Q27942755 (Lorenzini: family name) | Q734825 (Paolo Lorenzani: Italian composer (1640-1713)) | Q104761035 (Lorenzini: composer) | Q52848252 (Lorenzini: kindergarten in Campi Bisenzio, Florence, Tuscany, Italy) | Q52847996 (Lorenzini: primary school in Taranto, Taranto, Apulia, Italy)"
Index,Unmatched (Index),"Lorraine, Duke of",E21 Person,,,,L,Unmatched Index Entry,Of Lorraine,Person,,,,No match found
Index,Unmatched (Index),"Loth, Johann Karl",E21 Person,,,,L,Unmatched Index Entry,Johann Karl Loth,Person,Q670135,Johann Carl Loth,"German Baroque painter, mostly active in Venice (1632-1698)","Q670135 (Johann Carl Loth: German Baroque painter, mostly active in Venice (1632-1698))"
Index,Unmatched (Index),"Louisa Ulrika, Queen of Sweden",E21 Person,,,,L,Unmatched Index Entry,Of Sweden Louisa Ulrika,Person,,,,No match found
Index,Unmatched (Index),Louvre,E53 Place,,,,L,Unmatched Index Entry,Louvre,Place,,,,"Q19675 (Louvre Museum: art and archeology museum in Paris, France) | Q1461794 (Louvre - Rivoli: Paris Métro station) | Q3044768 (Department of Paintings of the Louvre: curatorial department of the Louvre in charge of most of the European paintings collection) | Q1075988 (Louvre Palace: former royal palace, now hosting the Louvre Museum in Paris, France) | Q908517 (Louvres: commune in Val-d'Oise, France)"
